pixel_id,latitude,longitude
11341,-14.7500,-65.5000
11342,-14.7500,-65.2500
11343,-14.7500,-65.0000
11344,-14.7500,-64.7500
11345,-14.7500,-64.5000
11346,-14.7500,-64.2500
11347,-14.7500,-64.0000
11348,-14.7500,-63.7500
11349,-14.7500,-63.5000
11350,-14.7500,-63.2500
11351,-14.7500,-63.0000
11352,-14.7500,-62.7500
11353,-14.7500,-62.5000
11354,-14.7500,-62.2500
11355,-14.7500,-62.0000
11356,-14.7500,-61.7500
11357,-14.7500,-61.5000
11358,-14.7500,-61.2500
11359,-14.7500,-61.0000
11360,-14.7500,-60.7500
11361,-14.7500,-60.5000
11362,-14.7500,-60.2500
11363,-14.7500,-60.0000
11364,-14.7500,-59.7500
11365,-14.7500,-59.5000
11366,-14.7500,-59.2500
11367,-14.7500,-59.0000
11385,-14.7500,-54.5000
11386,-14.7500,-54.2500
11387,-14.7500,-54.0000
11388,-14.7500,-53.7500
11389,-14.7500,-53.5000
11456,-14.5000,-74.0000
11457,-14.5000,-73.7500
11458,-14.5000,-73.5000
11459,-14.5000,-73.2500
11460,-14.5000,-73.0000
11461,-14.5000,-72.7500
11462,-14.5000,-72.5000
11463,-14.5000,-72.2500
11464,-14.5000,-72.0000
11465,-14.5000,-71.7500
11466,-14.5000,-71.5000
11467,-14.5000,-71.2500
11468,-14.5000,-71.0000
11474,-14.5000,-69.5000
11475,-14.5000,-69.2500
11476,-14.5000,-69.0000
11477,-14.5000,-68.7500
11478,-14.5000,-68.5000
11479,-14.5000,-68.2500
11480,-14.5000,-68.0000
11481,-14.5000,-67.7500
11482,-14.5000,-67.5000
11483,-14.5000,-67.2500
11484,-14.5000,-67.0000
11485,-14.5000,-66.7500
11486,-14.5000,-66.5000
11487,-14.5000,-66.2500
11488,-14.5000,-66.0000
11489,-14.5000,-65.7500
11490,-14.5000,-65.5000
11491,-14.5000,-65.2500
11492,-14.5000,-65.0000
11493,-14.5000,-64.7500
11494,-14.5000,-64.5000
11495,-14.5000,-64.2500
11496,-14.5000,-64.0000
11497,-14.5000,-63.7500
11498,-14.5000,-63.5000
11499,-14.5000,-63.2500
11500,-14.5000,-63.0000
11501,-14.5000,-62.7500
11502,-14.5000,-62.5000
11503,-14.5000,-62.2500
11504,-14.5000,-62.0000
11505,-14.5000,-61.7500
11506,-14.5000,-61.5000
11507,-14.5000,-61.2500
11508,-14.5000,-61.0000
11509,-14.5000,-60.7500
11510,-14.5000,-60.5000
11511,-14.5000,-60.2500
11512,-14.5000,-60.0000
11513,-14.5000,-59.7500
11514,-14.5000,-59.5000
11515,-14.5000,-59.2500
11516,-14.5000,-59.0000
11517,-14.5000,-58.7500
11532,-14.5000,-55.0000
11533,-14.5000,-54.7500
11534,-14.5000,-54.5000
11535,-14.5000,-54.2500
11536,-14.5000,-54.0000
11537,-14.5000,-53.7500
11538,-14.5000,-53.5000
11539,-14.5000,-53.2500
11540,-14.5000,-53.0000
11603,-14.2500,-74.5000
11604,-14.2500,-74.2500
11605,-14.2500,-74.0000
11606,-14.2500,-73.7500
11607,-14.2500,-73.5000
11608,-14.2500,-73.2500
11609,-14.2500,-73.0000
11610,-14.2500,-72.7500
11611,-14.2500,-72.5000
11612,-14.2500,-72.2500
11613,-14.2500,-72.0000
11614,-14.2500,-71.7500
11615,-14.2500,-71.5000
11616,-14.2500,-71.2500
11617,-14.2500,-71.0000
11622,-14.2500,-69.7500
11623,-14.2500,-69.5000
11624,-14.2500,-69.2500
11625,-14.2500,-69.0000
11626,-14.2500,-68.7500
11627,-14.2500,-68.5000
11628,-14.2500,-68.2500
11629,-14.2500,-68.0000
11630,-14.2500,-67.7500
11631,-14.2500,-67.5000
11632,-14.2500,-67.2500
11633,-14.2500,-67.0000
11634,-14.2500,-66.7500
11635,-14.2500,-66.5000
11636,-14.2500,-66.2500
11637,-14.2500,-66.0000
11638,-14.2500,-65.7500
11639,-14.2500,-65.5000
11640,-14.2500,-65.2500
11641,-14.2500,-65.0000
11642,-14.2500,-64.7500
11643,-14.2500,-64.5000
11644,-14.2500,-64.2500
11645,-14.2500,-64.0000
11646,-14.2500,-63.7500
11647,-14.2500,-63.5000
11648,-14.2500,-63.2500
11649,-14.2500,-63.0000
11650,-14.2500,-62.7500
11651,-14.2500,-62.5000
11652,-14.2500,-62.2500
11653,-14.2500,-62.0000
11654,-14.2500,-61.7500
11655,-14.2500,-61.5000
11656,-14.2500,-61.2500
11657,-14.2500,-61.0000
11658,-14.2500,-60.7500
11659,-14.2500,-60.5000
11660,-14.2500,-60.2500
11661,-14.2500,-60.0000
11662,-14.2500,-59.7500
11663,-14.2500,-59.5000
11664,-14.2500,-59.2500
11665,-14.2500,-59.0000
11666,-14.2500,-58.7500
11667,-14.2500,-58.5000
11668,-14.2500,-58.2500
11669,-14.2500,-58.0000
11670,-14.2500,-57.7500
11676,-14.2500,-56.2500
11677,-14.2500,-56.0000
11678,-14.2500,-55.7500
11679,-14.2500,-55.5000
11680,-14.2500,-55.2500
11681,-14.2500,-55.0000
11682,-14.2500,-54.7500
11683,-14.2500,-54.5000
11684,-14.2500,-54.2500
11685,-14.2500,-54.0000
11686,-14.2500,-53.7500
11687,-14.2500,-53.5000
11688,-14.2500,-53.2500
11689,-14.2500,-53.0000
11752,-14.0000,-74.7500
11753,-14.0000,-74.5000
11754,-14.0000,-74.2500
11755,-14.0000,-74.0000
11756,-14.0000,-73.7500
11757,-14.0000,-73.5000
11758,-14.0000,-73.2500
11759,-14.0000,-73.0000
11760,-14.0000,-72.7500
11761,-14.0000,-72.5000
11762,-14.0000,-72.2500
11763,-14.0000,-72.0000
11764,-14.0000,-71.7500
11765,-14.0000,-71.5000
11766,-14.0000,-71.2500
11767,-14.0000,-71.0000
11768,-14.0000,-70.7500
11769,-14.0000,-70.5000
11770,-14.0000,-70.2500
11771,-14.0000,-70.0000
11772,-14.0000,-69.7500
11773,-14.0000,-69.5000
11774,-14.0000,-69.2500
11775,-14.0000,-69.0000
11776,-14.0000,-68.7500
11777,-14.0000,-68.5000
11778,-14.0000,-68.2500
11779,-14.0000,-68.0000
11780,-14.0000,-67.7500
11781,-14.0000,-67.5000
11782,-14.0000,-67.2500
11783,-14.0000,-67.0000
11784,-14.0000,-66.7500
11785,-14.0000,-66.5000
11786,-14.0000,-66.2500
11787,-14.0000,-66.0000
11788,-14.0000,-65.7500
11789,-14.0000,-65.5000
11790,-14.0000,-65.2500
11791,-14.0000,-65.0000
11792,-14.0000,-64.7500
11793,-14.0000,-64.5000
11794,-14.0000,-64.2500
11795,-14.0000,-64.0000
11796,-14.0000,-63.7500
11797,-14.0000,-63.5000
11798,-14.0000,-63.2500
11799,-14.0000,-63.0000
11800,-14.0000,-62.7500
11801,-14.0000,-62.5000
11802,-14.0000,-62.2500
11803,-14.0000,-62.0000
11804,-14.0000,-61.7500
